"year","canton","party","party_id","seats_with","seat_difference","seats_without"
1995,"BL",,13,1,0,1
1995,"LU",,13,1,0,1
1995,"SG",,13,1,1,0
1995,"TG",,13,0,-1,1
1995,"VD",,13,1,1,0
1995,"ZH",,13,2,0,2
1999,"BE",,13,1,0,1
1999,"BL",,13,1,1,0
1999,"GE",,13,1,0,1
1999,"LU",,13,1,0,1
1999,"NE",,13,1,0,1
1999,"SG",,13,1,1,0
1999,"VD",,13,1,0,1
1999,"ZH",,13,1,0,1
2003,"AG",,13,1,1,0
2003,"BE",,13,2,0,2
2003,"BL",,13,1,0,1
2003,"GE",,13,1,0,1
2003,"LU",,13,1,0,1
2003,"NE",,13,1,1,0
2003,"SG",,13,1,0,1
2003,"VD",,13,2,0,2
2003,"ZH",,13,3,0,3
2007,"AG",,13,1,0,1
2007,"BE",,13,3,0,3
2007,"BL",,13,1,0,1
2007,"BS",,13,1,0,1
2007,"GE",,13,2,0,2
2007,"LU",,13,1,0,1
2007,"NE",,13,1,1,0
2007,"SG",,13,1,1,0
2007,"SO",,13,1,1,0
2007,"VD",,13,3,0,3
2007,"ZG",,13,1,1,0
2007,"ZH",,13,4,0,4
1995,"AG",,8,1,1,0
1995,"ZH",,8,2,0,2
1999,"ZH",,8,1,1,0
1995,"TI",,18,1,0,1
1999,"TI",,18,2,0,2
2003,"TI",,18,1,1,0
2007,"TI",,18,1,0,1
1995,"GE",,9,2,1,1
1995,"VD",,9,1,-1,2
1999,"GE",,9,1,0,1
1999,"VD",,9,1,0,1
2003,"VD",,9,2,1,1
2007,"VD",,9,1,0,1
1995,"BE",,16,1,0,1
1995,"BL",,16,1,0,1
1995,"ZH",,16,1,0,1
1999,"BE",,16,1,0,1
1999,"BL",,16,0,-1,1
2003,"BE",,16,1,1,0
1999,"GE",,9,1,0,1
2003,"GE",,9,1,1,0
1995,"AG",,3,3,0,3
1995,"BE",,3,8,0,8
1995,"BL",,3,2,0,2
1995,"BS",,3,4,1,3
1995,"FR",,3,1,0,1
1995,"GE",,3,4,0,4
1995,"GL",,3,1,0,1
1995,"GR",,3,2,1,1
1995,"JU",,3,1,0,1
1995,"LU",,3,1,0,1
1995,"NE",,3,2,0,2
1995,"SG",,3,3,1,2
1995,"SH",,3,1,0,1
1995,"SO",,3,2,0,2
1995,"TG",,3,1,0,1
1995,"TI",,3,2,1,1
1995,"VD",,3,5,0,5
1995,"VS",,3,1,0,1
1995,"ZG",,3,1,0,1
1995,"ZH",,3,9,0,9
1999,"AG",,3,3,0,3
1999,"BE",,3,8,0,8
1999,"BL",,3,2,0,2
1999,"BS",,3,3,0,3
1999,"FR",,3,2,1,1
1999,"GE",,3,2,0,2
1999,"GL",,3,1,0,1
1999,"GR",,3,1,0,1
1999,"JU",,3,1,0,1
1999,"LU",,3,1,0,1
1999,"NE",,3,2,0,2
1999,"SG",,3,2,0,2
1999,"SH",,3,1,0,1
1999,"SO",,3,2,0,2
1999,"TG",,3,1,0,1
1999,"TI",,3,2,0,2
1999,"VD",,3,5,0,5
1999,"VS",,3,2,1,1
1999,"ZG",,3,0,-1,1
1999,"ZH",,3,10,0,10
2003,"AG",,3,3,-1,4
2003,"BE",,3,8,-1,9
2003,"BL",,3,2,0,2
2003,"BS",,3,3,-1,4
2003,"FR",,3,2,0,2
2003,"GE",,3,3,-1,4
2003,"GL",,3,1,0,1
2003,"GR",,3,1,0,1
2003,"JU",,3,1,0,1
2003,"LU",,3,1,0,1
2003,"NE",,3,2,0,2
2003,"SG",,3,2,0,2
2003,"SH",,3,1,0,1
2003,"SO",,3,2,0,2
2003,"SZ",,3,1,0,1
2003,"TG",,3,1,0,1
2003,"TI",,3,2,-1,3
2003,"VD",,3,4,0,4
2003,"VS",,3,2,1,1
2003,"ZH",,3,10,1,9
2007,"AG",,3,3,0,3
2007,"BE",,3,6,0,6
2007,"BL",,3,2,0,2
2007,"BS",,3,2,-1,3
2007,"FR",,3,2,0,2
2007,"GE",,3,3,1,2
2007,"GL",,3,1,0,1
2007,"GR",,3,1,0,1
2007,"JU",,3,1,0,1
2007,"LU",,3,1,0,1
2007,"NE",,3,1,-1,2
2007,"SG",,3,2,0,2
2007,"SH",,3,1,0,1
2007,"SO",,3,1,0,1
2007,"SZ",,3,1,1,0
2007,"TG",,3,1,0,1
2007,"TI",,3,2,0,2
2007,"VD",,3,4,0,4
2007,"VS",,3,1,0,1
2007,"ZH",,3,7,0,7
1995,"AG",,4,3,-1,4
1995,"AR",,4,1,0,1
