year,kt,party,id_kt,vote,seats,others_name,ap_s,ap_i,kname,s
2011,OW,csp,OW2011,0,,,0,,Obwalden ,0
1995,SG,csp,SG1995,0,,,0,,St. Gallen,0
1999,SG,csp,SG1999,0,,,0,,St. Gallen,0
2003,SG,csp,SG2003,0,,,0,,St. Gallen,0
2007,SG,csp,SG2007,0,,,0,,St. Gallen,0
2011,SG,csp,SG2011,0,,,0,,St. Gallen,0
1995,SH,csp,SH1995,0,,,0,,Schaffhausen,0
1999,SH,csp,SH1999,0,,,0,,Schaffhausen,0
2003,SH,csp,SH2003,0,,,0,,Schaffhausen,0
2007,SH,csp,SH2007,0,,,0,,Schaffhausen,0
2011,SH,csp,SH2011,0,,,0,,Schaffhausen,0
1995,SO,csp,SO1995,0,,,0,,Solothurn,0
1999,SO,csp,SO1999,0,,,0,,Solothurn,0
2003,SO,csp,SO2003,0,,,0,,Solothurn,0
2007,SO,csp,SO2007,0,,,0,,Solothurn,0
2011,SO,csp,SO2011,0,,,0,,Solothurn,0
1995,SZ,csp,SZ1995,0,,,0,,Schwyz,0
1999,SZ,csp,SZ1999,0,,,0,,Schwyz,0
2003,SZ,csp,SZ2003,0,,,0,,Schwyz,0
2007,SZ,csp,SZ2007,0,,,0,,Schwyz,0
2011,SZ,csp,SZ2011,0,,,0,,Schwyz,0
1995,TG,csp,TG1995,0,,,0,,Thurgau,0
1999,TG,csp,TG1999,0,,,0,,Thurgau,0
2003,TG,csp,TG2003,0,,,0,,Thurgau,0
2007,TG,csp,TG2007,0,,,0,,Thurgau,0
2011,TG,csp,TG2011,0,,,0,,Thurgau,0
1995,TI,csp,TI1995,0,,,0,,Tessin,0
1999,TI,csp,TI1999,0,,,0,,Tessin,0
2003,TI,csp,TI2003,0,,,0,,Tessin,0
2007,TI,csp,TI2007,0,,,0,,Tessin,0
2011,TI,csp,TI2011,0,,,0,,Tessin,0
1995,UR,csp,UR1995,0,,,0,,Uri,0
1999,UR,csp,UR1999,0,,,0,,Uri,0
2003,UR,csp,UR2003,0,,,0,,Uri,0
2007,UR,csp,UR2007,0,,,0,,Uri,0
2011,UR,csp,UR2011,0,,,0,,Uri,0
1995,VD,csp,VD1995,0,,,0,,Waadt,0
1999,VD,csp,VD1999,0,,,0,,Waadt,0
2003,VD,csp,VD2003,0,,,0,,Waadt,0
2007,VD,csp,VD2007,0,,,0,,Waadt,0
2011,VD,csp,VD2011,0,,,0,,Waadt,0
1995,VS,csp,VS1995,0,,,0,,Wallis,0
1999,VS,csp,VS1999,0,,,0,,Wallis,0
2003,VS,csp,VS2003,0,,,0,,Wallis,0
2007,VS,csp,VS2007,1.1,,,0,VS07C,Wallis,0
2011,VS,csp,VS2011,.69999999,,,0,VS11A,Wallis,0
1995,ZG,csp,ZG1995,0,,,0,,Zug,0
1999,ZG,csp,ZG1999,0,,,0,,Zug,0
2003,ZG,csp,ZG2003,0,,,0,,Zug,0
2007,ZG,csp,ZG2007,0,,,0,,Zug,0
2011,ZG,csp,ZG2011,0,,,0,ZG11A,Zug,0
1995,ZH,csp,ZH1995,.2,,,0,ZH95C,Zürich,0
1999,ZH,csp,ZH1999,.2,,,0,ZH99C,Zürich,0
2003,ZH,csp,ZH2003,0,,,0,,Zürich,0
2007,ZH,csp,ZH2007,.1,,,0,ZH07B,Zürich,0
2011,ZH,csp,ZH2011,.2,,,0,ZH11B,Zürich,0
1995,AG,cvp,AG1995,14.2,,,0,AG95A,Aargau,2
1999,AG,cvp,AG1999,16.299999,,,0,AG99A,Aargau,3
2003,AG,cvp,AG2003,15.59608,,,0,AG03B,Aargau,2
2007,AG,cvp,AG2007,13.5,,,1,AG07B,Aargau,3
2011,AG,cvp,AG2011,10.6,,,0,AG11B,Aargau,1
1995,AI,cvp,AI1995,85.400002,,,0,,Appenzell I. Rh. ,1
1999,AI,cvp,AI1999,73.5,,,0,,Appenzell I. Rh. ,1
2003,AI,cvp,AI2003,69.161674,,,0,,Appenzell I. Rh. ,1
2007,AI,cvp,AI2007,84.599998,,,0,,Appenzell I. Rh. ,1
2011,AI,cvp,AI2011,76.099998,,,0,,Appenzell I. Rh. ,1
1995,AR,cvp,AR1995,9.5,,,0,,Appenzell A. Rh.,0
1999,AR,cvp,AR1999,0,,,0,,Appenzell A. Rh.,0
2003,AR,cvp,AR2003,0,,,0,,Appenzell A. Rh.,0
2007,AR,cvp,AR2007,0,,,0,,Appenzell A. Rh.,0
2011,AR,cvp,AR2011,10.6,,,0,,Appenzell A. Rh.,0
1995,BE,cvp,BE1995,1.8,,,1,BE95B,Bern,1
1999,BE,cvp,BE1999,2.4000001,,,1,BE99B,Bern,1
2003,BE,cvp,BE2003,2.3425274,,,1,BE03B,Bern,1
2007,BE,cvp,BE2007,4.6999998,,,0,BE07C,Bern,1
2011,BE,cvp,BE2011,2.0999999,,,0,BE11C,Bern,0
1995,BL,cvp,BL1995,11.7,,,0,BL95A,Basel-Landschaft ,1
1999,BL,cvp,BL1999,12,,,0,BL99A,Basel-Landschaft ,1
2003,BL,cvp,BL2003,10.033159,,,0,BL03A,Basel-Landschaft ,1
2007,BL,cvp,BL2007,11.4,,,0,BL07A,Basel-Landschaft ,1
2011,BL,cvp,BL2011,8.1999998,,,1,BL11B,Basel-Landschaft ,1
1995,BS,cvp,BS1995,9.6999998,,,-1,BS95A,Basel-Stadt,0
1999,BS,cvp,BS1999,8.6000004,,,0,BS99A,Basel-Stadt,0
2003,BS,cvp,BS2003,6.5942464,,,0,BS03A,Basel-Stadt,0
2007,BS,cvp,BS2007,7.4000001,,,0,BS07A,Basel-Stadt,0
2011,BS,cvp,BS2011,6.5,,,1,BS11B,Basel-Stadt,1
1995,FR,cvp,FR1995,36,,,-1,FR95A,Freiburg,3
1999,FR,cvp,FR1999,33.700001,,,-1,FR99A,Freiburg,2
2003,FR,cvp,FR2003,25.381187,,,0,FR03A,Freiburg,2
2007,FR,cvp,FR2007,24.799999,,,0,FR07A,Freiburg,2
2011,FR,cvp,FR2011,20.299999,,,0,FR11D,Freiburg,2
1995,GE,cvp,GE1995,13.4,,,-1,GE95A,Genf,1
1999,GE,cvp,GE1999,14.1,,,0,GE99A,Genf,2
2003,GE,cvp,GE2003,11.827843,,,0,GE03A,Genf,1
2007,GE,cvp,GE2007,9.6999998,,,0,GE07A,Genf,1
2011,GE,cvp,GE2011,9.8000002,,,0,GE11B,Genf,1
1995,GL,cvp,GL1995,0,,,0,,Glarus,0
1999,GL,cvp,GL1999,0,,,0,,Glarus,0
2003,GL,cvp,GL2003,0,,,0,,Glarus,0
2007,GL,cvp,GL2007,0,,,0,,Glarus,0
2011,GL,cvp,GL2011,0,,,0,,Glarus,0
1995,GR,cvp,GR1995,26.9,,,0,,Graubünden,1
1999,GR,cvp,GR1999,25.6,,,0,GR99A,Graubünden,1
2003,GR,cvp,GR2003,23.710377,,,0,,Graubünden,1
2007,GR,cvp,GR2007,20.299999,,,0,,Graubünden,1
2011,GR,cvp,GR2011,16.6,,,0,,Graubünden,1
1995,JU,cvp,JU1995,38.200001,,,0,,Jura,1
1999,JU,cvp,JU1999,39.200001,,,0,,Jura,1
2003,JU,cvp,JU2003,39.454559,,,0,,Jura,1
2007,JU,cvp,JU2007,25,,,-1,,Jura,0
2011,JU,cvp,JU2011,33.200001,,,0,,Jura,1
1995,LU,cvp,LU1995,37.299999,,,0,,Luzern,4
1999,LU,cvp,LU1999,33.799999,,,0,LU99B,Luzern,4
2003,LU,cvp,LU2003,29.453754,,,0,,Luzern,3
2007,LU,cvp,LU2007,31.299999,,,0,,Luzern,3
2011,LU,cvp,LU2011,27.1,,,0,LU11A,Luzern,3
1995,NE,cvp,NE1995,0,,,0,,Neuenburg,0
1999,NE,cvp,NE1999,0,,,0,,Neuenburg,0
2003,NE,cvp,NE2003,0,,,0,,Neuenburg,0
2007,NE,cvp,NE2007,3.3,,,0,,Neuenburg,0
2011,NE,cvp,NE2011,3.5,,,0,NE11A,Neuenburg,0
1995,NW,cvp,NW1995,32.099998,,,0,,Nidwalden,0
1999,NW,cvp,NW1999,0,,,0,,Nidwalden,0
2003,NW,cvp,NW2003,0,,,0,,Nidwalden,0
2007,NW,cvp,NW2007,0,,,0,,Nidwalden,0
2011,NW,cvp,NW2011,0,,,0,,Nidwalden,0
1995,OW,cvp,OW1995,94.199997,,,0,,Obwalden ,1
1999,OW,cvp,OW1999,0,,,0,,Obwalden ,1
2003,OW,cvp,OW2003,66.397011,,,0,,Obwalden ,1
2007,OW,cvp,OW2007,32.5,,,0,,Obwalden ,0
2011,OW,cvp,OW2011,0,,,0,,Obwalden ,0
1995,SG,cvp,SG1995,31,,,-1,,St. Gallen,4
1999,SG,cvp,SG1999,26.200001,,,0,SG99A,St. Gallen,4
2003,SG,cvp,SG2003,22.174179,,,0,,St. Gallen,3
2007,SG,cvp,SG2007,21.4,,,0,,St. Gallen,3
2011,SG,cvp,SG2011,20.299999,,,0,SG11A,St. Gallen,3
1995,SH,cvp,SH1995,0,,,0,,Schaffhausen,0
1999,SH,cvp,SH1999,0,,,0,,Schaffhausen,0
2003,SH,cvp,SH2003,2.6515889,,,0,SH03A,Schaffhausen,0
2007,SH,cvp,SH2007,0,,,0,,Schaffhausen,0
2011,SH,cvp,SH2011,5.1999998,,,0,SH11B,Schaffhausen,0
1995,SO,cvp,SO1995,21.5,,,0,,Solothurn,2
